,Team,Player,Rating
0,NZ,Trent Boult,725
1,BAN,Mehedi Hasan,708
2,AFG,Mujeeb Ur Rahman,691
3,NZ,Matt Henry,690
4,IND,Jasprit Bumrah,666
5,SA,Kagiso Rabada,665
6,ENG,Chris Woakes,660
7,AUS,Josh Hazlewood,652
8,BAN,Mustafizur Rahman,646
9,AUS,Pat Cummins,638
