,Team,Player,Rating
0,"PAK
865",Babar Azam,857
1,IND,Trent Boult,825
2,IND,Shakib Al Hasan,801
3,NZ,Babar Azam,791
4,AUS,Trent Boult,785
5,ENG,Shakib Al Hasan,778
6,PAK,Virat Kohli,778
7,SA,Rohit Sharma,773
8,AUS,Ross Taylor,773
9,WI,Aaron Finch,725
