,Team,Player,Rating
0,ENG,Tammy Beaumont,758
1,SA,Lizelle Lee,756
2,AUS,Alyssa Healy,746
3,WI,Stafanie Taylor,723
4,AUS,Meg Lanning,715
5,NZ,Amy Satterthwaite,710
6,IND,Smriti Mandhana,709
7,IND,Mithali Raj,685
8,ENG,Natalie Sciver,683
9,SA,Laura Wolvaardt,679
